Verhalten im Brandfall,Brandschutz,true,1,3,
Onbaording,Onboarding,true,2,1,
Standardschulung Kundengespräch,Standardschulung,true,1,1,
FAQ zum Vertrag,,false,1,1,white
Mein Arbeitsplatz,,true,1,1,white
Freizeit und Pausen Angebote,,true,1,1,white
Gefahren am Arbeitsplatz,,true,1,1,white
Das Team,,true,1,1,white
Was tun bei Problemen im Team,,true,1,1,white
Die Führungsebene,,true,1,1,white
Sicherheit am PC,,true,1,1,white
Verhalten bei Unfällen,,true,1,1,white
Wichtige Kunden,,true,1,1,white
Feedback zum Onboarding Prozess,,true,1,1,white
Wie funktioniert die Betriebssoftware,,true,1,1,white
Schlussfeedback für eingearbeitete Mitarbeiter,,true,1,1,white
Produkt A,,true,1,1,white
Produkt C,,true,1,1,white
Produkt B,,true,1,1,white
Produkt D,,true,1,1,white
Produkt E,,true,1,1,white
Produkt F,,true,1,1,white
Prozess A,,true,1,1,white
Prozess B,,true,1,1,white
Prozess C,,true,1,1,white
Prozess D,,true,1,1,white
